location,date,total_diagnoses,new_diagnoses,total_deaths,new_deaths,imported_cases,total_tests,new_tests,import_2,data,
NSW,2020-03-01,5,1,0,0,0,,,,,
NSW,2020-03-02,9,4,0,0,0,,,,,
NSW,2020-03-03,15,6,1,1,0,,,,,
NSW,2020-03-04,22,7,1,0,0,,,,,
NSW,2020-03-05,25,3,1,0,0,,,,,
NSW,2020-03-06,28,3,1,0,0,,,,,
NSW,2020-03-07,36,8,1,0,0,6796,,,,
NSW,2020-03-08,40,4,2,1,0,7216,420,,,
NSW,2020-03-09,47,7,2,0,0,8371,1155,,,
NSW,2020-03-10,61,14,2,0,0,10165,1794,,,
NSW,2020-03-11,65,4,2,0,0,10221,56,,,
NSW,2020-03-12,78,13,2,0,0,14856,4635,,,
NSW,2020-03-13,92,14,2,0,0,16685,1829,,,
NSW,2020-03-14,112,20,3,1,0,20496,3811,,,
NSW,2020-03-15,134,22,3,0,0,22567,2071,,,
NSW,2020-03-16,171,37,3,0,0,26964,4397,,,
NSW,2020-03-17,210,39,4,1,0,30244,3280,,,
NSW,2020-03-18,267,57,4,0,0,35800,5556,,,
NSW,2020-03-19,307,40,4,0,0,39089,3289,,,
NSW,2020-03-20,353,46,5,1,0,40651,1562,,,
NSW,2020-03-21,436,83,5,0,0,46892,6241,,,
NSW,2020-03-22,533,97,5,0,0,52663,5771,,,
NSW,2020-03-23,669,136,5,0,0,56941,4278,,,
NSW,2020-03-24,818,149,6,1,98,61848,4907,,,
NSW,2020-03-25,1029,211,6,0,75,68177,6329,,,
NSW,2020-03-26,1219,190,6,0,147,74006,5829,,,
NSW,2020-03-27,1405,186,6,0,230,77689,3683,,,
NSW,2020-03-28,1617,212,7,1,127,86524,8835,,,
NSW,2020-03-29,1791,174,7,0,106,93099,6575,,,
NSW,2020-03-30,1918,127,7,0,75,96446,3347,,,
NSW,2020-03-31,2032,114,7,0,108,99951,3505,,,
NSW,2020-04-01,2182,150,9,2,60,105543,5592,,,
NSW,2020-04-02,2298,116,9,0,66,110537,4994,,,
NSW,2020-04-03,2389,91,11,2,66,114455,3918,,,
NSW,2020-04-04,2493,104,11,0,39,117633,3178,,,
NSW,2020-04-05,2580,87,15,4,42,121433,3800,,,
NSW,2020-04-06,2637,57,18,3,39,124038,2605,,,
NSW,2020-04-07,2686,49,20,2,19,126146,2108,,,
NSW,2020-04-08,2734,48,20,0,26,129091,2945,,,
NSW,2020-04-09,2773,39,20,0,9,132997,3906,,,
NSW,2020-04-10,2822,49,21,1,18,137441,4444,,,
NSW,2020-04-11,2857,35,22,1,44,140947,3506,,,
NSW,2020-04-12,2857,0,23,1,13,141777,830,,,
NSW,2020-04-13,2866,9,25,2,6,144380,2603,,,
NSW,2020-04-14,2873,7,25,0,6,145809,1429,,,
NSW,2020-04-15,3078,205,25,0,16,147114,1305,,,
NSW,2020-04-16,3089,11,25,0,11,150314,3200,,,
NSW,2020-04-17,3118,29,25,0,6,155302,4988,,,
NSW,2020-04-18,3128,10,26,1,1,160454,5152,,,
NSW,2020-04-19,3149,21,27,1,1,165137,4683,,,
NSW,2020-04-20,3155,6,28,1,3,168626,3489,,,
NSW,2020-04-21,3161,6,29,1,0,171128,2502,,,
NSW,2020-04-22,3163,2,31,2,0,175419,4291,,,
NSW,2020-04-23,3168,5,32,1,1,181064,5645,,,
NSW,2020-04-24,3174,6,33,1,1,188416,7352,,,
NSW,2020-04-25,3186,12,34,1,4,193256,4840,,,
NSW,2020-04-26,3194,8,34,0,0,198715,5459,,,
NSW,2020-04-27,3196,2,35,1,2,203133,4418,,,
NSW,2020-04-28,3201,5,40,5,0,207245,4112,,,
NSW,2020-04-29,3208,7,41,1,5,212659,5414,,,
NSW,2020-04-30,3208,0,41,0,0,220046,7387,,,
NSW,2020-05-01,3217,9,42,1,2,227084,7038,,,
NSW,2020-05-02,3223,6,42,0,2,235894,8810,,,
NSW,2020-05-03,3227,4,43,1,2,243128,7234,,,
NSW,2020-05-04,3227,0,44,1,1,248699,5571,,,
NSW,2020-05-05,3229,2,45,1,0,253995,5296,,,
NSW,2020-05-06,3236,7,45,0,0,261251,7256,,,
NSW,2020-05-07,3238,2,45,0,0,271796,10545,,,
NSW,2020-05-08,3241,3,45,0,0,281257,9461,,,
NSW,2020-05-09,3245,4,45,0,1,294949,13692,,,
NSW,2020-05-10,3247,2,45,0,2,304464,9515,,,
NSW,2020-05-11,3247,0,45,0,1,309722,5258,,,
NSW,2020-05-12,3247,0,45,0,0,315770,6048,,,
NSW,2020-05-13,3253,6,46,1,0,323887,8117,,,
NSW,2020-05-14,3257,4,46,0,1,333634,9747,,,
NSW,2020-05-15,3265,8,46,0,4,345846,12212,,,
NSW,2020-05-16,3268,3,46,0,2,355738,9892,,,
NSW,2020-05-17,3269,1,46,0,1,365917,10179,,,
NSW,2020-05-18,3270,1,47,1,1,371881,5964,,,
NSW,2020-05-19,3272,2,48,1,2,377185,5304,,,
NSW,2020-05-20,3275,3,48,0,4,384278,7093,,,
NSW,2020-05-21,3276,1,48,0,0,394012,9734,,,
NSW,2020-05-22,3278,2,49,1,0,402623,8611,,,
NSW,2020-05-23,3280,2,49,0,3,411618,8995,,,
NSW,2020-05-24,3281,1,49,0,1,418427,6809,,,
NSW,2020-05-25,3284,3,49,0,1,452562,34135,,,
NSW,2020-05-26,3286,2,49,0,2,456724,4162,,,
NSW,2020-05-27,3286,0,49,0,0,464351,7627,,,
NSW,2020-05-28,3287,1,49,0,1,474223,9872,,,
NSW,2020-05-29,3289,2,49,0,2,484185,9962,,,
NSW,2020-05-30,3289,0,49,0,0,493637,9452,,,
NSW,2020-05-31,3292,3,49,0,3,503464,9827,,,
NSW,2020-06-01,3295,3,49,0,3,509227,5763,,,
NSW,2020-06-02,3301,6,49,0,6,514651,5424,,,
NSW,2020-06-03,3301,0,49,0,0,521669,7018,,,
NSW,2020-06-04,3303,2,49,0,2,533034,11365,,,
NSW,2020-06-05,3307,4,49,0,4,543205,10171,,,
NSW,2020-06-06,3307,0,49,0,0,555956,12751,,,
NSW,2020-06-07,3307,0,49,0,0,565163,9207,,,
NSW,2020-06-08,3310,3,49,0,0,571113,5950,,,
NSW,2020-06-09,3312,2,49,0,2,575856,4743,,,
NSW,2020-06-10,3315,3,49,0,3,581559,5703,,,
NSW,2020-06-11,3315,0,49,0,0,591305,9746,,,
NSW,2020-06-12,3315,0,49,0,3,606525,15220,,,
NSW,2020-06-13,3318,3,49,0,3,620650,14125,,,
NSW,2020-06-14,3327,9,49,0,8,634241,13591,,,
NSW,2020-06-15,3330,3,49,0,2,641442,7201,,,
NSW,2020-06-16,3333,3,49,0,3,649337,7895,,,
NSW,2020-06-17,3334,1,49,0,1,661226,11889,,,
NSW,2020-06-18,3336,2,49,0,2,678618,17392,,,
NSW,2020-06-19,3342,6,49,0,6,695981,17363,,,
NSW,2020-06-20,3343,1,49,0,1,712174,16193,,,
NSW,2020-06-21,3348,5,49,0,5,725817,13643,,,
NSW,2020-06-22,3350,2,49,0,1,734699,8882,,,
NSW,2020-06-23,3350,0,49,0,1,742962,8263,,,
NSW,2020-06-24,3359,9,49,0,9,756240,13278,,,
NSW,2020-06-25,3362,3,49,0,3,773415,17175,,,
NSW,2020-06-26,3368,6,49,0,5,788693,15278,,,
NSW,2020-06-27,3374,6,49,0,5,812427,23734,,,
NSW,2020-06-28,3377,3,49,0,3,830541,18114,,,
NSW,2020-06-29,3384,7,49,0,7,842374,11833,,,
NSW,2020-06-30,3389,5,49,0,5,855324,12950,,,
NSW,2020-07-01,3403,14,49,0,14,871567,16243,,,
NSW,2020-07-02,3411,8,49,0,8,889914,18347,,,
NSW,2020-07-03,3411,0,49,0,0,907762,17848,,,
NSW,2020-07-04,3416,5,49,0,5,924318,16556,,,
NSW,2020-07-05,3430,14,49,0,14,942432,18114,,,
NSW,2020-07-06,3440,10,49,0,10,953987,11555,,,
NSW,2020-07-07,3444,4,49,0,7,963733,9746,,,
NSW,2020-07-08,3451,7,49,0,7,979060,15327,,,
NSW,2020-07-09,3464,13,49,0,11,997736,18676,,,
NSW,2020-07-10,3478,14,49,0,13,1007662,9926,,,
NSW,2020-07-11,3485,7,49,0,5,1024410,16748,,,
NSW,2020-07-12,3489,4,49,0,1,1039385,14975,,,
NSW,2020-07-13,3503,14,49,0,0,1050171,10786,,,